1728031229.476933 client started (911): version 3.3a, socket /private/tmp/tmux-502/default, protocol 8
1728031229.477003 on Darwin 23.6.0 Darwin Kernel Version 23.6.0: Mon Jul 29 21:14:30 PDT 2024; root:xnu-10063.141.2~1/RELEASE_ARM64_T6000
1728031229.477014 using libevent 2.1.12-stable (select); utf8proc 2.9.0; ncurses 6.0
1728031229.480581 sending message 105 to peer 0x120008000 (21 bytes)
1728031229.480584 sending message 105 to peer 0x120008000 (54 bytes)
1728031229.480586 sending message 105 to peer 0x120008000 (60 bytes)
1728031229.480590 sending message 105 to peer 0x120008000 (16 bytes)
1728031229.480599 sending message 105 to peer 0x120008000 (33 bytes)
1728031229.480602 sending message 105 to peer 0x120008000 (69 bytes)
1728031229.480605 sending message 105 to peer 0x120008000 (46 bytes)
1728031229.480608 sending message 105 to peer 0x120008000 (651 bytes)
1728031229.480611 sending message 105 to peer 0x120008000 (43 bytes)
1728031229.480613 sending message 105 to peer 0x120008000 (24 bytes)
1728031229.480616 sending message 105 to peer 0x120008000 (15 bytes)
1728031229.480619 sending message 105 to peer 0x120008000 (8 bytes)
1728031229.480622 sending message 105 to peer 0x120008000 (66 bytes)
1728031229.480624 sending message 105 to peer 0x120008000 (38 bytes)
1728031229.480627 sending message 105 to peer 0x120008000 (19 bytes)
1728031229.480630 sending message 105 to peer 0x120008000 (20 bytes)
1728031229.480632 sending message 105 to peer 0x120008000 (18 bytes)
1728031229.480635 sending message 105 to peer 0x120008000 (26 bytes)
1728031229.480640 sending message 105 to peer 0x120008000 (57 bytes)
1728031229.480643 sending message 105 to peer 0x120008000 (43 bytes)
1728031229.480645 sending message 105 to peer 0x120008000 (13 bytes)
1728031229.480648 sending message 105 to peer 0x120008000 (60 bytes)
1728031229.480651 sending message 105 to peer 0x120008000 (18 bytes)
1728031229.480654 sending message 105 to peer 0x120008000 (39 bytes)
1728031229.480656 sending message 105 to peer 0x120008000 (53 bytes)
1728031229.480659 sending message 105 to peer 0x120008000 (72 bytes)
1728031229.480662 sending message 105 to peer 0x120008000 (64 bytes)
1728031229.480665 sending message 105 to peer 0x120008000 (15 bytes)
1728031229.480668 sending message 105 to peer 0x120008000 (76 bytes)
1728031229.480671 sending message 105 to peer 0x120008000 (14 bytes)
1728031229.480673 sending message 105 to peer 0x120008000 (19 bytes)
1728031229.480676 sending message 105 to peer 0x120008000 (44 bytes)
1728031229.480679 sending message 105 to peer 0x120008000 (38 bytes)
1728031229.480681 sending message 105 to peer 0x120008000 (17 bytes)
1728031229.480684 sending message 105 to peer 0x120008000 (22 bytes)
1728031229.480687 sending message 106 to peer 0x120008000 (0 bytes)
1728031229.480756 sending message 200 to peer 0x120008000 (4 bytes)
1728031229.480760 client loop enter
1728031229.481074 peer 0x120008000 message 303
1728031229.481097 open write file 2 -
1728031229.481119 sending message 305 to peer 0x120008000 (8 bytes)
1728031229.481136 write check file 2
1728031229.481188 peer 0x120008000 message 304
1728031229.481200 write 58 to file 2
1728031229.481209 peer 0x120008000 message 203
1728031229.481215 file 2 58 bytes left
1728031229.481226 write check file 2
1728031229.481230 client loop exit
